core,l1i_size,l1d_size,l2_size,l1d_assoc,l1i_assoc,l2_assoc,sys_clock,latency,area,power
1.0,6.0,5.0,9.0,2.0,4.0,1.0,3.4,0.000171,20.182,2.433
3.0,3.0,4.0,11.0,3.0,4.0,1.0,2.3,0.0,0.0,0.0
3.0,8.0,10.0,6.0,2.0,4.0,1.0,2.9,0.000149,76.103,7.952
8.0,5.0,5.0,16.0,2.0,4.0,1.0,2.3,0.000305,565.91,40.674
13.0,10.0,8.0,7.0,1.0,4.0,2.0,3.8,0.000468,276.0,32.163
15.0,7.0,7.0,6.0,3.0,4.0,1.0,2.8,0.000586,270.94,29.254
9.0,8.0,5.0,6.0,1.0,1.0,1.0,3.3,0.000332,109.04,16.032
3.0,3.0,2.0,16.0,4.0,3.0,2.0,2.5,0.0,0.0,0.0
1.0,8.0,2.0,12.0,4.0,2.0,1.0,3.4,0.0,0.0,0.0
3.0,6.0,4.0,12.0,2.0,1.0,1.0,2.8,0.000149,67.272,6.871
1.0,4.0,9.0,13.0,4.0,2.0,2.0,3.5,0.000171,89.219,5.912
12.0,8.0,7.0,10.0,2.0,1.0,1.0,2.0,0.00045,162.1,22.692
11.0,7.0,2.0,14.0,4.0,1.0,1.0,3.1,0.0,0.0,0.0
15.0,7.0,4.0,15.0,4.0,4.0,1.0,2.3,0.000586,535.24,42.165
3.0,10.0,8.0,6.0,4.0,4.0,1.0,3.7,0.000149,78.0,8.1
3.0,10.0,9.0,16.0,3.0,4.0,2.0,3.5,0.000149,526.45,34.448
1.0,3.0,6.0,10.0,2.0,4.0,1.0,2.6,0.0,0.0,0.0
3.0,7.0,8.0,6.0,2.0,4.0,3.0,3.3,0.000149,53.419,6.23
6.0,9.0,9.0,10.0,4.0,4.0,1.0,3.3,0.000226,157.4,15.33
11.0,6.0,10.0,10.0,3.0,4.0,1.0,3.3,0.000413,259.99,27.058
3.0,4.0,6.0,11.0,2.0,2.0,3.0,3.3,0.000149,49.601,5.964
8.0,3.0,5.0,13.0,2.0,4.0,1.0,3.1,0.0,0.0,0.0
1.0,7.0,2.0,10.0,2.0,1.0,1.0,3.4,0.000171,22.563,2.322
6.0,8.0,5.0,12.0,2.0,2.0,1.0,3.4,0.000226,106.9,12.528
6.0,7.0,9.0,10.0,4.0,2.0,4.0,3.4,0.000226,122.61,13.455
7.0,7.0,7.0,9.0,4.0,1.0,1.0,3.6,0.000269,120.16,13.34
4.0,10.0,5.0,12.0,4.0,4.0,1.0,3.3,0.00019,132.84,12.037
15.0,8.0,5.0,15.0,2.0,1.0,1.0,3.2,0.000586,416.74,39.347
12.0,2.0,2.0,15.0,1.0,2.0,1.0,3.6,0.00045,361.45,32.141
4.0,7.0,6.0,7.0,4.0,4.0,1.0,2.6,0.00019,84.989,8.432
14.0,8.0,7.0,6.0,1.0,2.0,1.0,2.1,0.000515,175.85,25.855
3.0,10.0,5.0,11.0,2.0,4.0,1.0,3.7,0.000149,75.82,8.163
10.0,7.0,2.0,10.0,1.0,3.0,1.0,3.8,0.000382,138.1,17.916
13.0,8.0,7.0,6.0,4.0,3.0,1.0,3.4,0.000468,246.86,26.126
3.0,7.0,5.0,13.0,4.0,4.0,3.0,2.1,0.000149,119.76,9.952
3.0,7.0,9.0,12.0,2.0,3.0,1.0,3.0,0.000149,85.943,8.245
3.0,7.0,4.0,11.0,2.0,4.0,1.0,2.5,0.000149,63.326,6.731
2.0,4.0,10.0,15.0,3.0,2.0,3.0,3.6,0.000129,291.08,18.083
3.0,7.0,2.0,16.0,2.0,4.0,1.0,3.4,0.000149,490.41,31.917
2.0,9.0,2.0,12.0,1.0,4.0,2.0,3.7,0.000129,69.995,6.231
1.0,5.0,6.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.3,2.278
13.0,7.0,7.0,12.0,1.0,4.0,1.0,2.7,0.000468,243.02,26.507
16.0,7.0,5.0,10.0,4.0,4.0,1.0,3.3,0.000608,338.53,31.837
6.0,10.0,2.0,7.0,2.0,4.0,1.0,3.1,0.000226,120.28,14.089
1.0,3.0,7.0,12.0,2.0,1.0,1.0,3.4,0.000171,45.766,3.596
1.0,3.0,7.0,10.0,2.0,4.0,1.0,3.1,0.0,0.0,0.0
15.0,10.0,5.0,10.0,3.0,4.0,1.0,3.9,0.000586,334.98,36.32
11.0,4.0,4.0,6.0,2.0,4.0,3.0,2.3,0.000413,165.24,19.719
15.0,7.0,2.0,7.0,2.0,4.0,1.0,3.4,0.000582,235.32,27.313
14.0,2.0,5.0,13.0,2.0,4.0,1.0,2.6,0.0,0.0,0.0
3.0,4.0,10.0,13.0,3.0,4.0,1.0,3.3,0.000149,130.97,10.762
9.0,7.0,5.0,11.0,2.0,3.0,1.0,2.4,0.000333,133.42,16.889
6.0,8.0,7.0,15.0,2.0,4.0,3.0,3.6,0.000226,355.16,25.31
1.0,9.0,9.0,9.0,3.0,4.0,1.0,3.3,0.000171,26.325,3.079
3.0,7.0,3.0,13.0,2.0,3.0,1.0,3.4,0.000149,103.49,8.75
10.0,3.0,3.0,15.0,2.0,2.0,1.0,3.3,0.00038,342.78,29.011
13.0,8.0,3.0,6.0,2.0,4.0,1.0,3.3,0.000468,211.27,24.732
8.0,8.0,3.0,6.0,2.0,4.0,1.0,3.2,0.000305,130.83,15.296
1.0,8.0,5.0,6.0,2.0,4.0,1.0,2.5,0.000169,18.181,2.54
7.0,8.0,5.0,6.0,2.0,4.0,1.0,3.4,0.000269,115.55,13.339
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,3.0,10.0,1.0,4.0,1.0,3.2,0.000171,26.557,2.752
3.0,7.0,5.0,13.0,2.0,4.0,1.0,3.3,0.000149,111.86,9.127
1.0,9.0,3.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.149,2.546
7.0,8.0,6.0,10.0,2.0,4.0,1.0,2.8,0.000269,126.0,13.978
1.0,3.0,5.0,9.0,2.0,4.0,1.0,3.7,0.0,0.0,0.0
10.0,4.0,5.0,10.0,2.0,4.0,1.0,2.7,0.00038,159.89,18.381
13.0,7.0,5.0,10.0,2.0,4.0,1.0,3.3,0.000468,214.98,24.4
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
3.0,6.0,5.0,9.0,4.0,4.0,1.0,3.3,0.000149,65.453,6.267
1.0,6.0,5.0,15.0,2.0,4.0,1.0,3.3,0.000171,251.38,14.973
4.0,10.0,3.0,10.0,2.0,4.0,1.0,3.3,0.00019,90.053,10.154
1.0,5.0,5.0,6.0,2.0,4.0,1.0,2.2,0.000169,17.234,2.471
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,10.0,2.0,4.0,1.0,3.3,0.000171,27.67,2.881
1.0,7.0,5.0,12.0,2.0,4.0,1.0,3.3,0.000171,50.301,4.086
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,9.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.757,2.616
1.0,6.0,5.0,12.0,2.0,4.0,1.0,3.3,0.000171,50.055,4.047
1.0,4.0,5.0,10.0,2.0,4.0,1.0,3.3,0.000171,26.291,2.725
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,1.0,4.0,1.0,3.3,0.000171,18.005,2.393
1.0,7.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.111,2.376
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.673,2.458
1.0,7.0,5.0,6.0,3.0,4.0,1.0,3.3,0.000171,19.45,2.396
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,5.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.726,2.316
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
